preset,Nxy,E_thin_k,E_direct_k,error
<<<<<<< HEAD
1,8,0.978400159720566,1.0497417946642509,0.06796112654207764
1,16,1.0434556354995859,1.0497417946642509,0.005988290831723605
1,32,1.0497418389714064,1.0497417946642509,4.2207670234040415e-8
1,64,1.049741794664246,1.0497417946642509,4.653507494110111e-15
1,128,1.0497417946642704,1.0497417946642509,1.8614029976440444e-14
1,256,1.0497417946641996,1.0497417946642509,4.8861828688156164e-14
2,8,0.7057247430283747,1.0710040000182697,0.3410624582015229
2,16,1.0291870602565771,1.0710040000182697,0.03904461585669074
2,32,1.0708348848935287,1.0710040000182697,0.00015790335492496052
2,64,1.071004000017977,1.0710040000182697,2.7325275095723174e-13
2,128,1.071004000018284,1.0710040000182697,1.3476046139772431e-14
2,256,1.0710040000182535,1.0710040000182697,1.5134636433898267e-14
3,8,0.5193443135851388,1.0298172339009153,0.49569273411954967
3,16,0.8963287703676147,1.0298172339009153,0.1296234507822815
3,32,1.0244818625443042,1.0298172339009153,0.005180891502855209
3,64,1.0298171737973234,1.0298172339009153,5.836335798496374e-8
3,128,1.029817233900924,1.0298172339009153,8.409006284807839e-15
3,256,1.0298172339009002,1.0298172339009153,1.4661857111972644e-14
=======
1,8,0.5883788486131689,0.8047057189467354,0.26882730573446495
1,16,0.7972629047679562,0.8047057189467354,0.00924911306523444
1,32,0.8047053758839098,0.8047057189467354,4.2632084936695974e-7
1,64,0.8047057189467475,0.8047057189467354,1.5038331011557303e-14
1,128,0.8047057189467144,0.8047057189467354,2.6075638176003032e-14
1,256,0.8047057189467234,0.8047057189467354,1.4900364672001732e-14
2,8,0.5211425656988999,0.7460531713015085,0.30146726031637444
2,16,0.7090784378833745,0.7460531713015085,0.04956045338381258
2,32,0.7459147822633373,0.7460531713015085,0.00018549487287854
2,64,0.7460531713017714,0.7460531713015085,3.523888408283286e-13
2,128,0.7460531713015054,0.7460531713015085,4.166759942226859e-15
2,256,0.746053171301525,0.7460531713015085,2.217311540685007e-14
3,8,1.2941857104880106,1.7680224827170268,0.2680038160492409
3,16,1.6307570192692968,1.7680224827170268,0.07763784951240316
3,32,1.7621010782455517,1.7680224827170268,0.0033491680843194174
3,64,1.7680224094119397,1.7680224827170268,4.146162609816553e-8
3,128,1.7680224827169773,1.7680224827170268,2.8006401152878915e-14
3,256,1.768022482716992,1.7680224827170268,1.9717511125569462e-14
4,8,1.092345447009412,1.7515407176399433,0.37635166798676684
4,16,1.5256742248196389,1.7515407176399433,0.128953035773351
4,32,1.7382503860193148,1.7515407176399433,0.007587794840725234
4,64,1.7515383357956604,1.7515407176399433,1.3598566444555391e-6
4,128,1.7515407176399158,1.7515407176399433,1.5719606591734302e-14
4,256,1.7515407176399334,1.7515407176399433,5.7046959405487385e-15
5,8,0.6585215713005915,1.7582387379869076,0.6254652129581875
5,16,1.3341367741248416,1.7582387379869076,0.24120840628710116
5,32,1.6840517984873724,1.7582387379869076,0.0421938943197642
5,64,1.7580505085371483,1.7582387379869076,0.00010705568344762019
5,128,1.7582387379867055,1.7582387379869076,1.1492215824634112e-13
5,256,1.7582387379869377,1.7582387379869076,1.7175179693958672e-14
6,8,1.1684970211792693,2.6139859826503793,0.5529826751425407
6,16,1.7999405270737756,2.6139859826503793,0.3114192122603598
6,32,2.4062962198438527,2.6139859826503793,0.07945328099883125
6,64,2.6102280162567455,2.6139859826503793,0.001437638311213707
6,128,2.6139859604848876,2.6139859826503793,8.479575564465994e-9
6,256,2.6139859826504357,2.6139859826503793,2.1575987792319146e-14
>>>>>>> main
