n_atoms,energy_ewald,energy_fssog,error,error_rel
1000,-9.562614063504487,-9.562614063504071,4.902744876744691e-13,5.126992310037769e-14
3164,4.907563256236145,4.907563256246036,7.361222742474638e-12,1.4999751115009636e-12
10000,-45.93702871007848,-45.93702871006161,2.8620661396416835e-11,6.2304119791993e-13
31624,24.46954538787901,24.469545388027427,9.208633855450898e-12,3.7633040211499294e-13
100000,-223.76328241182813,-223.76328241197052,4.547473508864641e-12,2.0322697539322813e-14
1000,28.099192784785828,28.099192770815876,1.39699523060699e-8,4.971656094560077e-10
1000,28.099192784785828,28.09919278475911,2.6716406864579767e-11,9.507891229902247e-13
1000,28.099192784785828,28.099192784765705,2.0122570276726037e-11,7.161262756139139e-13
1000,28.099192784785828,28.099192445257813,3.395280145923607e-7,1.2083194602522408e-8
1000,28.099192784785828,28.09919278475911,2.6716406864579767e-11,9.507891229902247e-13
1000,28.099192784785828,28.099192777797043,6.988784662098624e-9,2.4871834275191946e-10
1000,28.099192784785828,28.09919278476434,2.148681232938543e-11,7.646772095538403e-13
100,5.896505659165001,5.8965056582700015,8.949996299634222e-10,1.5178474874730507e-10
100,5.896505659165001,5.896505659164063,9.379164112033322e-13,1.5906309014484177e-13
318,-2.076339386858109,-2.076339386858905,7.958078640513122e-13,3.8327446326369545e-13
100,5.896505659165001,5.8965056591663085,1.3073986337985843e-12,2.2172430747462792e-13
318,-2.076339386858109,-2.076339386858649,5.400124791776761e-13,2.6007910007179333e-13
100,5.896505659165001,5.896505659166571,1.5702994460298214e-12,2.6631017365159115e-13
100,5.896505659165001,5.896505660171933,1.0069314271277108e-9,1.7076748252799973e-10
100,5.896505659165001,5.896505659166316,1.3145040611561853e-12,2.2292933088481613e-13
318,-2.076339386858109,-2.076339386858649,5.400124791776761e-13,2.6007910007179333e-13
100,5.896505659165001,5.896505659004717,1.602842303327634e-10,2.7182918087025308e-11
100,5.896505659165001,5.896505659166053,1.0516032489249483e-12,1.783434647078529e-13
318,-2.076339386858109,-2.076339386869222,1.1112888387287967e-11,5.352154112003747e-12
100,5.896505659165001,5.896505659164696,3.055333763768431e-13,5.1816006638092395e-14
318,-2.076339386858109,-2.07633938685899,8.810729923425242e-13,4.243395843276628e-13
100,5.896505659165001,5.896505659164461,5.400124791776761e-13,9.158177917430284e-14
318,-2.076339386858109,-2.0763393871212372,2.631281859066803e-10,1.267269636034033e-10
100,5.896505659165001,5.896505659164696,3.055333763768431e-13,5.1816006638092395e-14
100,5.896505659165001,5.896505659164696,3.055333763768431e-13,5.1816006638092395e-14
100,5.896505659165001,5.896505658909227,2.5577406859156326e-10,4.337722769654447e-11
318,-2.076339386858109,-2.0763394302684617,4.341035264587845e-8,2.0907156566329193e-8
100,5.896505659165001,5.896505659164696,3.055333763768431e-13,5.1816006638092395e-14
318,-2.076339386858109,-2.0763393868590185,9.094947017729282e-13,4.3802795801565194e-13
1000,28.099192784785828,28.09919278401651,7.693188308621757e-10,2.7378680830956812e-11
3164,-196.2637093377005,-196.26370936507328,2.7372777822165517e-8,1.394693798182864e-10
10000,-415.7294303593328,-415.72943132478576,9.654529549152358e-7,2.3223108214416124e-9
100,5.896505659165001,5.896505655891481,3.2735201216382848e-9,5.551627202375729e-10
100,5.896505659165001,5.896505614290511,4.487448990175835e-8,7.610353062581982e-9
100,5.896505659165001,5.896505659015453,1.4954792959542829e-10,2.5362127714230945e-11
100,5.896505659165001,5.896505659165456,4.547473508864641e-13,7.712149825204449e-14
100,5.896505659165001,5.896505659165456,4.547473508864641e-13,7.712149825204449e-14
318,-2.076339386858109,-2.0763393868613775,3.268496584496461e-12,1.574162974118749e-12
1000,28.099192784785828,28.099192784191132,5.946958481217735e-10,2.1164161286646235e-11
3164,-196.2637093377005,-196.26371019649605,8.587955449002038e-7,4.375722581613497e-9
10000,-415.7294303593328,-415.72986354378645,0.0004331844536409335,1.0419864989267505e-6
100,5.896505659165001,5.896505659165555,5.542233338928781e-13,9.399182599467923e-14
318,-2.076339386858109,-2.0763393868610365,2.9274360713316128e-12,1.4099024898628797e-12
1000,28.099192784785828,28.099192784770935,1.48929757415317e-11,5.300143621775295e-13
3164,-196.2637093377005,-196.2637093497226,1.2022098871966591e-8,6.125482348486957e-11
10000,-415.7294303593328,-415.72945267937484,2.2320042035062215e-5,5.3688866856912305e-8
100,5.896505659165001,5.896505659165477,4.760636329592671e-13,8.073656848260908e-14
100,5.896505659165001,5.896505659116045,4.89563944938709e-11,8.302611296196665e-12
100,5.896505659165001,5.896505659203498,3.849720542348223e-11,6.528816836399642e-12
318,-2.076339386858109,-2.076339387119873,2.617639438540209e-10,1.2606992166637981e-10
100,5.896505659165001,5.896505659165449,4.476419235288631e-13,7.59164748418563e-14
100,5.896505659165001,5.896505659097393,6.760814130757353e-11,1.1465797747940678e-11
100,5.896505659165001,5.896505659165271,2.7000623958883807e-13,4.579088958715142e-14
318,-2.076339386858109,-2.076339387491572,6.334630597848445e-10,3.0508647275790156e-10
1000,28.099192784785828,28.09919250920177,2.755840569079737e-7,9.80754354826831e-9
100,5.896505659165001,5.896505659165271,2.7000623958883807e-13,4.579088958715142e-14
318,-2.076339386858109,-2.076339386866664,8.554934538551606e-12,4.120200480084726e-12
1000,28.099192784785828,28.09919278471432,7.150902092689648e-11,2.5448781206844736e-12
3164,-196.2637093377005,-196.26370934075908,3.058573838643497e-9,1.5584000979930384e-11
100,5.896505659165001,5.896505659165285,2.8421709430404007e-13,4.820093640752781e-14
100,5.896505659165001,5.896505661991149,2.8261482043490105e-9,4.792920362853037e-10
100,5.896505659165001,5.896505659162031,2.9700686354772188e-12,5.036997854586656e-13
100,5.896505659165001,5.896505659165285,2.8421709430404007e-13,4.820093640752781e-14
100,5.896505659165001,5.896505659165285,2.8421709430404007e-13,4.820093640752781e-14
318,-2.076339386858109,-2.076339386866664,8.554934538551606e-12,4.120200480084726e-12
1000,28.099192784785828,28.099192784714432,7.139533408917487e-11,2.5408322095228132e-12
3164,-196.2637093377005,-196.26370934075908,3.058573838643497e-9,1.5584000979930384e-11
10000,-415.7294303593328,-415.7294304060124,4.66795881948201e-8,1.1228357865949718e-10
100,5.896505659165001,5.896505659165285,2.8421709430404007e-13,4.820093640752781e-14
318,-2.076339386858109,-2.076339386866607,8.498091119690798e-12,4.092823732708748e-12
100,5.896505659165001,5.896505658880024,2.849773750313034e-10,4.832987391241795e-11
100,5.896505659165001,5.896505659165264,2.6290081223123707e-13,4.4585866176963225e-14
100,5.896505659165001,5.896505655299379,3.865622488774534e-9,6.555785260319654e-10
100,5.896505659165001,5.896505659102765,6.223643822522718e-11,1.0554800049838403e-11
100,5.896505659165001,5.896505659163999,1.0018652574217413e-12,1.6990830083653553e-13
100,5.896505659165001,5.896505659164404,5.968558980384842e-13,1.012219664558084e-13
100,5.896505659165001,5.896505659165712,7.105427357601002e-13,1.2050234101881954e-13
100,5.896505659165001,5.896505659165264,2.6290081223123707e-13,4.4585866176963225e-14
318,-2.076339386858109,-2.0763393868663798,8.270717444247566e-12,3.983316743204835e-12
